location,city,district,neighborhood,room,living_room,area,age,floor,price
afyonkarahisar-merkez-sadikbey-satilik,afyonkarahisar,merkez,sadikbey,2,1,95,4,3,2950000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,3,1,110,0,2,3550000
afyonkarahisar-merkez-dortyol-satilik,afyonkarahisar,merkez,dortyol,4,1,175,0,4,6000000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,3,1,120,11,4,2580000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,1,1,48,5,3,1350000
afyonkarahisar-merkez-esrefpasa-satilik,afyonkarahisar,merkez,esrefpasa,2,1,85,11,0,1800000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,105,33,2,2850000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,3,1,155,5,2,3900000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,2,1,100,0,2,3800000
afyonkarahisar-merkez-kasimpasa-satilik,afyonkarahisar,merkez,kasimpasa,3,1,125,16,3,3350000
afyonkarahisar-merkez-cumhuriyet-satilik,afyonkarahisar,merkez,cumhuriyet,3,1,115,40,1,2450000
afyonkarahisar-merkez-sahipata-satilik,afyonkarahisar,merkez,sahipata,3,1,125,0,4,3600000
afyonkarahisar-merkez-esentepe-satilik,afyonkarahisar,merkez,esentepe,2,1,95,1,3,2975000
afyonkarahisar-merkez-guvenevler-satilik,afyonkarahisar,merkez,guvenevler,3,1,135,11,4,3350000
afyonkarahisar-merkez-esentepe-satilik,afyonkarahisar,merkez,esentepe,2,1,100,11,3,2200000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,2,1,58,10,-1,1700000
afyonkarahisar-merkez-kasimpasa-satilik,afyonkarahisar,merkez,kasimpasa,1,1,55,2,3,1950000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,4,1,155,5,0,4650000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,135,31,0,1700000
afyonkarahisar-merkez-maresal-fevzi-cakmak-satilik,afyonkarahisar,merkez,maresal_fevzi_cakmak,2,1,90,0,2,3100000
afyonkarahisar-merkez-dervis-pasa-satilik,afyonkarahisar,merkez,dervis_pasa,2,1,95,0,3,4850000
afyonkarahisar-merkez-marulcu-satilik,afyonkarahisar,merkez,marulcu,2,1,95,27,3,1775000
afyonkarahisar-ihsaniye-yaylabagi-bahcelievler-satilik,afyonkarahisar,ihsaniye,yaylabagi_bahcelievler,1,1,90,15,1,2000000
afyonkarahisar-merkez-dumlupinar-satilik,afyonkarahisar,merkez,dumlupinar,3,1,120,26,4,3000000
afyonkarahisar-merkez-zafer-satilik,afyonkarahisar,merkez,zafer,2,1,100,31,2,4050000
afyonkarahisar-merkez-selcuklu-satilik,afyonkarahisar,merkez,selcuklu,1,1,55,8,4,2700000
afyonkarahisar-merkez-erenler-satilik,afyonkarahisar,merkez,erenler,2,1,85,6,5,1460000
afyonkarahisar-merkez-kanlica-satilik,afyonkarahisar,merkez,kanlica,3,1,130,6,3,3950000
