"classifiedTitle","searchResultsAttributeValue","searchResultsAttributeValue 2","classified-price-container","searchResultsLocationValue"
"Mareşal Fevzi Çakmak Mahallesi Satılık 3+1 Daire","115","3+1","4.000.000 TL","MerkezHarbiş"
"AFYON BAYLAN EMLAKTAN KANLICA MAH SATILIK 2+1-100m2 DAİRE","100","2+1","2.300.000 TL","Merkez"
"UZUNLAR EMLAK'TAN PAŞA CAMİİ YANINDA 3+1 SİTE İÇİNDE SIFIR DAİRE","137","3+1","7.850.000 TL","Merkez"
"FORBES GAYRİMENKULDEN LÜKS SATILIK DAİRE !!ACİL ACİL!!","140","3+1","4.850.000 TL","Merkez"
"İSTASYON CADDESİ 3+1 DAİRE","140","3+1","3.950.000 TL","Sandıklı"
"LİDERDEN Yıl sonu teslim 128 metrekare sıfır daire","135","3+1","4.000.000 TL","MerkezHarbiş"
"DUMLUPINAR MAHALLESİNDE 3+1","160","3+1","3.600.000 TL","MerkezDumlupınar"
"SAHİBİNDEN MASRAFSIZ ARA KAT TADİLATLI 2+1 DAİRE","100","2+1","2.800.000 TL","Sandıklı"
"ME-KA GROUP'TAN HARBİŞ GAZİ MAHALLESİNDE SATILIK 3+1 DAİRE","120","3+1","2.750.000 TL","MerkezHarbiş"
"MİLLET BAHÇESİNE YAKIN SATILIK DAİRE","155","3.5+1","4.050.000 TL","Sandıklı"
"AFYON MERKEZ FATİH MAHALLESİNDE 3+1 SATILIK FIRSAT DAİRE","110","3.5+1","3.125.000 TL","Merkez"
"Açık Otopark Acil! 4+1 Yok Konut Merkezi Konum Geniş","230","4+1","4.000.000 TL","Merkez"
"EŞREFPAŞADA SAHİBİNDEN SATILIK DAİRE","115","3+1","3.450.000 TL","MerkezEşrefpaşa"
"1. BOLOVA KONUTLARINDA SATILIK DAİRE","90","2+1","2.050.000 TL","Bolvadin"
"VEZİRDEN DUBLEKS 5+1 ATAKÖYDE","230","4+1","6.300.000 TL","MerkezHarbiş"
"Fatih Mh.'de Satılık, 3+1, Doğalgazlı, Sıfır Daireler","110","3+1","3.300.000 TL","Merkez"
"AFYON İMZA EMLAKTAN 3+1 160M2","168","3+1","4.000.000 TL","Merkez"
"AFYONUN EN PRESTİJLİ BÖLGESİ UYDUKENTTE 2+1 VE 3+1 DAİRELER!","125","3+1","4.850.000 TL","Merkez"
"MAREŞAL FEVZİ ÇAKMAK MAH.ANKASTRELİ DOĞALGAZLI 3+1 SATILIK DAİR","140","3+1","2.350.000 TL","MerkezHarbiş"
"AZAK EMLAK'TAN CUMHURİYET MAHALLESİNDE SATILIK DAİRE","110","3+1","2.300.000 TL","Merkez"
"GAZİ MAH.DE 4+1 SIFIR LÜX DAİRE OTOPARK KİLER GÜNEY CEPHE","150","4+1","5.400.000 TL","MerkezHarbiş"
"SALİM GRP EMLAKTAN ESENTEPE MH 3+1 SATILIK","145","3+1","3.850.000 TL","MerkezHarbiş"
"BAĞLARBAŞI MAHALLESİNDE BİRDANE OKULU YANINDA 3+1 DAİRE","120","3+1","2.250.000 TL","Bolvadin"
"03 EGEME EMLAK DUMLUPINAR MAH SATILIK ARA KAT 3+1 DAİRE","140","3+1","4.700.000 TL","MerkezDumlupınar"
"BULVAR ÜZERİNDE SATILIK 3+1 DOĞALGAZLI ÖN CEPHE DAİRE","110","3+1","5.250.000 TL","MerkezHarbiş"
"ÇINAR EMLAKTAN ECE MAHALLESİNDE SATILIK 2+1 SIFIR DAİRE","75","2+1","3.650.000 TL","Sandıklı"
"ÇINAR EMLAKTAN ÇAKIR MAHALLESİ ATATÜRK CADDESİNDE SATILIK 4+1","170","4+1","5.350.000 TL","Sandıklı"
"ERENLERDE ÜNİVERSİTE GİRİŞİNDE 15.000tl KİRACILI 2+0 LÜKS DAİRE","60","2+0","1.700.000 TL","MerkezKöyler"
"''URAZLAR''dan PARKAFYON KAPALI PAZAR YÜRÜYÜŞ MESAFE 3+1 ARAKAT","145","3+1","3.250.000 TL","Merkez"
"AFYON RAM GAYRİMENKUL'DEN BOLVADİN YENİCE MAH.DE SATILIK (4+1)","145","4+1","3.715.000 TL","Bolvadin"
"''URAZLAR''dan YENİ AÇILAN ALIŞVERİŞ MERKEZİ KARŞISINDA","44","1+1","1.250.000 TL","MerkezKöyler"
"SAHİPATA TOKİLER DE 2+1 GENİŞ DAİRE","100","2+1","2.350.000 TL","Merkez"
"Yok Fiyat Düştü! Hastalık Sebebiyle Acil! Var 3+1 Konut","110","3+1","4.850.000 TL","Merkez"
"SELÇUKLU SİTE İÇERİSİNDE 3+1 BAKIMLI SATILIK DAİRE","110","3+1","2.825.000 TL","Merkez"
"YEŞİLYOLDA MERKEZİ DOĞALGAZLI SATILIK GENİŞ 2+1 DAİRE","105","2+1","4.350.000 TL","MerkezDumlupınar"
"ÖRNEKEVLER TEK DAİRE PARASINA İKİ DAİRE SATILIK BAKIMLI MÜLK","230","3+1","4.450.000 TL","Merkez"
"*AS Group Emlak* Uydukent Zafer Sitesi. Manzalı Geniş 2+1","130","2+1","3.600.000 TL","Merkez"
"AFYON MERKEZ VEYSEL KARANİ MAHALLESİ SATILIK 3+1 DAİRE","120","3+1","3.230.000 TL","Merkez"
"SAHİBİNDEN SATILIK 3+1 BAKIMLI DAİRE","135","3+1","3.055.000 TL","Merkez"
"(2 ADET 2+0 ) SAHİNİNDEN DAİRE ACİL SATILIK açıklamayı okuyalım.","58","2+0","1.120.000 TL","MerkezKöyler"
"SAHİBİNDEN ÖRNEK EVLERDE ASANSÖRLÜ 3+1 DAİRE","125","3+1","2.425.000 TL","Merkez"
"AFYON MERKEZ DUMLUPINAR MAHALLESİ AFJETLİ SATILIK 3+1 DAİRE","130","3+1","2.250.000 TL","MerkezDumlupınar"
"VEZİRDEN ERENLERDE SATILIK SIFIR DAİRE","55","2+0","1.550.000 TL","MerkezKöyler"
"DIALOG NOVA'DAN ŞEHİR MERKEZİNDE 1+1 EŞYALI DAİRE","50","1+1","2.150.000 TL","Merkez"
"YAP-AR EMLAKDAN KOCATEPE MAH. SATILIK BAKIMLI MASRAFSIZ 2+1","110","2+1","2.900.000 TL","Merkez"
"AFYON BAYLAN EMLAKTAN CUMHURİYET MAHALLESİNDE SATILIK 3+1 DAİRE","120","3+1","2.650.000 TL","Merkez"
"ERENLER'DE SATILIK 2+0 KOMBİLİ EŞYALI ARA KAT ÖN CEPHE DAİRE","65","2+0","1.250.000 TL","MerkezKöyler"
"CEZAEVİ KARŞISI GENİŞ, TERASLI, SATILIK 3+1","120","3+1","3.500.000 TL","Merkez"
"MİLSAPARK RESİDENCE' DA SAHİBİNDEN ACİL SATILIK 4+1 DAİRE","200","4+1","5.000.000 TL","Merkez"
"DZ YILMAZ EMLAKTAN CUMHURİYET MAH. SATILIK DAİRE","100","2+1","1.650.000 TL","Merkez"
"️SELÇUKLU EMLAKTAN️DEVLET HASTANESİNE YAKIN️2+1 SATILIK DAİRE","70","2+1","3.500.000 TL","Merkez"
"KANLICA MAHALLESİNDE SATILIK 4+1 DAİRE","165","4+1","4.990.000 TL","Merkez"
"LAVİN'DEN ŞEHİR MERKEZİN'DE AFJETLİ 1+1 SATILIK LÜKS DAİRE","45","1+1","2.550.000 TL","Merkez"
"Acil! Merkezi Konum Doğa Manzaralı Açık Otopark Satılık 2+0 Var","65","2+0","2.990.000 TL","Merkez"
"GELİŞGEN EMLAKTAN KUPON 2+1 SATILIK DAİRE","100","2+1","2.990.000 TL","Merkez"
"DERVİŞPAŞA MH. 4+1 145 M² AFJETLİ GÜZEL KONUMLU DAİRE","160","4+1","4.250.000 TL","Merkez"
"SELÇUKLU MAH 2+1 DAİRE ARA KAT","60","2+1","3.000.000 TL","Merkez"
"MERKEZDE 1+1 55 M² DOĞALGAZLI (AYRI MUTFAK) SUİT DAİRE","60","1+1","2.100.000 TL","Merkez"
"VİZYON EMLAKTAN ERENLERİN MERKEZİNDE DE 1+1 EŞYALI SATILIK DAİRE","41","1+1","1.250.000 TL","MerkezKöyler"
"YAP-AR DAN SADIKBEY TOKİ DE GÜNEY CEPHELİ GENİŞ, KİRACILI 2+1","90","2+1","3.075.000 TL","MerkezÇarşı"
"VİZYON EMLAKTAN CUMHURİYET MH. SATILIK 3+1 BAKIMLI DAİRE!","130","3+1","1.650.000 TL","Merkez"
"BAL EMLAK'TAN KANLICA MAHALLESİNDE SIFIR 2+1 SATILIK DAİRE","80","2+1","2.700.000 TL","MerkezKöyler"
"ARDA UĞUŞ TAN KANLICA MH.SATILIK SIFIR LÜKS DAİRELER","125","3+1","4.350.000 TL","Merkez"
"ESENTEPE MAHALLESİNDE","100","2+1","2.490.000 TL","MerkezHarbiş"
"Selçuklu Mah. NİKO yakını 2+0 eşyalı Daireler","60","2+0","3.400.000 TL","Merkez"
"UZUNLAR EMLAK'TAN ORDU BULVARINDA EŞSİZ FIRSAT DAİRE","130","3+1","3.950.000 TL","MerkezDumlupınar"
"HUZURA VE OKSİJENE DOYACAĞINIZ 3+1 BAHÇELİ EV (VİLLA)","115","3+1","5.100.000 TL","Merkez"
"1+1 havuzlu ön cephe","75","1+1","1.875.000 TL","Dazkırı"
"AFYON ÜÇOK EMLAKTAN MAREŞAL DE SATILIK 4+1 ARAKAT 5 YAŞ DAİRE","155","4+1","4.200.000 TL","MerkezHarbiş"
"UZUNLAR EMLAK'TAN SELÇUKLU MAH. AFJETLİ D.GAZLI OTOPARKLI 3+1","125","3+1","3.650.000 TL","Merkez"
"Afyon Merkez Cumhuriyet Mah eşyalı Satılık 2+1 Daire","75","2+1","3.500.000 TL","Merkez"
"FATİH MAH 2+1 SATILIK DAİRE ARAKAT","96","2+1","2.950.000 TL","Merkez"
"EFA GAYRİMENKUL'DEN GENİŞ 3+1 (157M2) DAİRE","157","3+1","3.800.000 TL","Merkez"
"SIFIR AYARINDA SATILIK DAİRE","130","3+1","3.950.000 TL","Merkez"
"BATTALGAZİ TOKİDE SATILIK 3+1 DAİRE","120","3+1","3.050.000 TL","Merkez"
"ERBAY'DAN ERKMEN TREND 272 DE FIRSAT DAİRE","155","3.5+1","6.525.000 TL","Merkez"
"FORBES GAYRİMENKULDEN SELÇUKLU'DA ULTRA LÜKS SATILIK DAİRE","195","4+1","8.200.000 TL","Merkez"
"FATİHTE İHVAN SİTESİNDE SATİLİK 3+1","120","3+1","2.550.000 TL","Merkez"
"satılık3+0 lüks daire","65","3+0","1.980.000 TL","MerkezKöyler"
"Molleli emlaktan cadde üzeri bakımlı daire kaçmaz fırsat","120","3+1","1.590.000 TL","MerkezHarbiş"
"LOTUS'TAN ATAKÖY MİGROS ARKASI 3+1 125m2 SATILIK DAİRE","130","3+1","3.965.000 TL","MerkezHarbiş"
"LAVİN'DEN KÖŞE CEPHE PARK MANZARALI 1+1 SATILIK SIFIR LÜKS DAİRE","55","1+1","3.800.000 TL","Merkez"
"SAHİBİNDEN,S­ULTANDAĞINDA ÇARŞI MERKEZİ KONUMDA 2+1 SATILIK DAİRE","100","2+1","2.850.000 TL","Sultandağı"
"YAPAR EMLAK'TAN DUMLUPINAR MAHALLESİNDE FIRSAT DAİRE","120","3+1","850.000 TL","MerkezDumlupınar"
"ACİL SATILIK FİYAT SADECE 3 GÜN GEÇERLİ SADIKBEY TOKİ 2+1","88","2+1","2.250.000 TL","MerkezÇarşı"
"KARŞIYAKA MAHALLESİNDE 3+1 SATILIK LÜX DAİRE...!","125","3+1","5.250.000 TL","Merkez"
"Konut 3+1 Açık Otopark Son 3 gün! Doğa Manzaralı Var Emsalsiz Konumda","135","3+1","5.250.000 TL","Merkez"
"YÜKSEL GAYRİMENKUL DEN SATILIK","110","3+1","2.100.000 TL","Merkez"
"İDEAL'DEN KADAİFÇİOĞLU ARKASI EBEVEYN BANYOLU 2+1 SATILIK DAİRE","100","2+1","3.750.000 TL","Merkez"
"AFYON ERENLER'DE 2+1 LÜKS KAT MÜLKİYETLİ SATILIK DAİRE","65","2+1","1.850.000 TL","MerkezKöyler"
"GÜVENEVLER'DE SATILIK 3+1, DOĞALGAZLI, LÜKS DAİRE","135","3+1","3.750.000 TL","Merkez"
"AFYON BAYLAN EMLAK'TAN FATİH MAHALLESİNDE SATILIK LÜKS 3+1 DAİRE","110","3+1","3.100.000 TL","Merkez"
"CENTURY 21 PLUS FIRSAT DERVİŞPAŞA MAH. 2+0 AYRI MUTFAK SATILIK","55","1+1","2.625.000 TL","Merkez"
"MIR'DEN ATAKÖY MİGROS YANINDA 2+0 SATILIK DAİRE","50","2+0","2.550.000 TL","MerkezHarbiş"
"DUMAN EMLAK'TAN ZAFER MAH. 3+1 SATILIK DAİRE","110","3+1","2.400.000 TL","MerkezHarbiş"
"DOĞA EMLAKTAN HATTAT KARAHİSAR MAHALLESİNDE SATILIK DAİRE","135","3+1","2.850.000 TL","Merkez"
"CUMHURİYET MAHALLESİ KADINANA CAD. 3+1 SATILIK DAİRE","115","3+1","2.500.000 TL","Merkez"
"ÇINAR EMLAKTAN ECE MAHALLESİNDE SATILIK SIFIR 3+1 DAİRE","110","3+1","4.650.000 TL","Sandıklı"
"VEZİRDEN CUMHURİYET MAH. SATILIK 5+1 DUBLEX","230","5+1","3.950.000 TL","Merkez"
"AFYON İMZA EMLAKTAN SAHİPATA MH 2+1","76","2+1","2.200.000 TL","Merkez"
"SELÇUKLU MAH. HARİKA KONUMLU SİTE İÇERİSİNDE SATILIK 2+1 DAİRE","108","2+1","2.700.000 TL","Merkez"
"CUMHURİYET MH'DE MUHTEŞEM KONUMLU EŞYALI FIRSAT 1+1 SUİT DAİRE!","56","1+1","1.740.000 TL","Merkez"
"MERDİVENCİDEN CUMHURİYETTE 4+1 DUBLEX DAİRE","280","4+1","7.500.000 TL","Merkez"
"YAP-AR'DAN OSMANGAZİ MAH. SIFIR 3+1 SATILIK DAİRE","105","3+1","2.800.000 TL","Merkez"
"DAMLA'DAN DOĞAN SİTESİ, 3.KAT, 3+1 (110 M2) DOĞALGAZLI, DAİRE","120","2+1","2.590.000 TL","Merkez"
"DAMLA'DAN PANORAMA RESİDENCE, 12.KAT, 5+1 (210 M2) DELÜKS, DAİRE","230","5+1","7.950.000 TL","Merkez"
"Erkmen nefeste sıfır lüks 4+1 dubleks daire","250","4+1","5.700.000 TL","Merkez"
"KANLICA MAHALLESİNDE SATILIK 3+1 SATILIK DAİRE","120","3+1","2.550.000 TL","Merkez"
"İscehisar TOKİ Kira & Satılık EN İYİ CEPHE:GD açklama okuyunz","85","2+1","1.840.000 TL","İscehisar"
"SALİM EMLAKTAN KANLICA MAH. SATILIK 2+1 DAİRE","95","2+1","2.400.000 TL","Merkez"
"Sahibinden satılık sıfır daire","55","Stüdyo (1+0)","2.250.000 TL","Merkez"
"AFYON RAM GAYRİMENKUL'DEN MARULCU MAH. ANBARYOLU SATILIK 3+1","105","3+1","3.175.000 TL","Merkez"
"ARDA UĞUŞ TAN DUMLUPINAR MH.SATILIK BAKIMLI MASRAFSIZ DAİRE","100","2+1","3.050.000 TL","MerkezDumlupınar"
"ARDA UĞUŞ TAN MARULCU MH.SATILIK DAİRE","140","4+1","2.150.000 TL","Merkez"
"Var 3+1 Sahibinden Fiyat Düştü! Açık Otopark Konut Merkeze 5 dk Uzaklıkta","105","3+1","1.740.000 TL","Merkez"
"MERKEZİ KONUM YATIRIMLIK DAİRE","55","1+1","2.750.000 TL","Merkez"
